"snag_spcd_group","snag_slope","snag_dbh","rodne_uid","rodne_pid","site_name","uid","trid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen"
"Douglas-fir (east OR)","Other","Large","A0A0426","AA","Ashland","MPM13820",1382,1,0,NA,"Conifer","A","stem","3",NA,"NO","PSME",80,"0","BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1380267.375,"Mid Slope",NA,2011,4,524,660,136,1139,31.496062992126,6.2691697965796,5.41053150224543,202,267,179,"Douglas-fir - Dry,Warm,Mid Slope",-122.7242591,42.14282646,0.031562153163152,0.0202222222222222,-106.747012213497,-53.3735061067486,-22.152006502289,-156.010241339875,-78.0051206699374,-32.3750502137953,1958,1933,1958,1933
"Douglas-fir (east OR)","Other","Large","B0A0431","BA","Big Butte","MBB2311",231,1,0,NA,"Conifer","B","stem","3",NA,"NO","PSME",90,"0","BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1127968.5,"Mid Slope",NA,2012,4,566,783,217,708,35.4330708661417,7.56927124574428,6.84770393252937,119,218,149,"Douglas-fir - Dry,Cool,Mid Slope",-122.6834746,42.55866886,0.031562153163152,0.0202222222222222,-62.1347745783129,-31.0673872891564,-12.8941307296188,-86.7663891415017,-43.3831945707508,-18.0056525853719,1981,1969,1981,1969
"Douglas-fir (east OR)","Other","Large","A520047","A52","Ashland","AW29_043_01",43,1,0,NA,"Conifer","A","density","0.1",NA,"NO","PSME",75.1,"0","BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"ABCO/BENE2/LIBOL","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",809125.1875,"Bottom Slope",NA,2011,4,554,702,148,1390,29.5669291338583,5.66617459586013,4.76803934030925,113,180,131,"White fir - Intermediate,Cool,Bottom Slope",-122.75002699,42.11470044,0.031562153163152,0.0202222222222222,-62.1347745783129,-31.0673872891564,-12.8941307296188,-86.7663891415017,-43.3831945707508,-18.0056525853719,1980,1968,1980,1968
"Douglas-fir (east OR)","Other","Large","C0A0583","CA","Trail Creek","MTL6141",614,1,0,NA,"Conifer","C","stem","3",NA,"NO","PSME",120,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1185811.25,"Mid Slope",NA,2012,4,551,744,192,668,47.244094488189,11.9937791357112,12.1736958800522,78,298,246,"Douglas-fir - Dry,Warm,Mid Slope",-122.8515128,42.70268221,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1936,1899,1936,1899
"Douglas-fir (east OR)","Other","Large","A080062","A08","Ashland","AW71_058_01",58,1,0,NA,"Conifer","A","density","0.1",NA,"NO","PSME",147.436093,"0","CUT STUMP",2,NA,NA,NA,NA,NA,1964,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1166229.25,"Mid Slope",NA,2012,4,573,841,268,989,58.0457059055118,16.6737066089688,18.3767024525114,198,274,173,"Douglas-fir - Dry,Warm,Mid Slope",-122.70036883,42.16489417,0.031562153163152,0.0202222222222222,NA,NA,NA,NA,NA,NA,NA,NA,1964,1964
"Douglas-fir (east OR)","Other","Large","B0A0841","BA","Big Butte","MBB6531",653,1,0,NA,"Conifer","B","stem","3",NA,"NO","PSME",100,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1127968.5,"Mid Slope",NA,2012,4,566,783,217,708,39.3700787401575,8.95913443551893,8.45395547225848,119,218,149,"Douglas-fir - Dry,Cool,Mid Slope",-122.6830164,42.55833984,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1936,1899,1936,1899
"Douglas-fir (east OR)","Other","Large","C040012","C04","Trail Creek","TL04_001_01",1,1,0,NA,"Conifer","C","density","0.1",NA,"NO","PSME",124,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1201549.25,"Mid Slope",NA,2012,4,559,754,195,631,48.8188976377953,12.6398159352606,12.9988019341446,150,218,151,"Douglas-fir - Dry,Warm,Mid Slope",-122.84916668,42.70611117,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1936,1899,1936,1899
"Douglas-fir (east OR)","Other","Large","A520022","A52","Ashland","AW29_017_01",17,1,0,NA,"Conifer","A","density","0.1",NA,"NO","PSME",76.3,"0","OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"ABCO/BENE2/LIBOL","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",809125.1875,"Bottom Slope",NA,2011,4,554,702,148,1390,30.0393700787402,5.81172845295032,4.92163080332925,113,180,131,"White fir - Intermediate,Cool,Bottom Slope",-122.75002699,42.11470044,0.031562153163152,0.0202222222222222,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007
"Douglas-fir (east OR)","Other","Large","C0A0647","CA","Trail Creek","MTL6791",679,1,0,NA,"Conifer","C","stem","3",NA,"NO","PSME",125,"0","BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1185811.25,"Mid Slope",NA,2012,4,551,744,192,668,49.2125984251969,12.803304494559,13.2093054254039,78,298,246,"Douglas-fir - Dry,Warm,Mid Slope",-122.8519974,42.70252713,0.031562153163152,0.0202222222222222,-62.1347745783129,-31.0673872891564,-12.8941307296188,-86.7663891415017,-43.3831945707508,-18.0056525853719,1981,1969,1981,1969
"Douglas-fir (east OR)","Other","Large","A300093","A30","Ashland","AW11_088_01",88,1,0,NA,"Conifer","A","density","0.1",NA,"NO","PSME",80,"0","CLEAN SNAG",5,NA,NA,NA,NA,NA,NA,"ABCO/SYMO","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Warm",1139494.75,"Mid Slope",NA,2011,4,580,799,219,1251,31.496062992126,6.2691697965796,5.41053150224543,247,217,122,"White fir - Intermediate,Warm,Mid Slope",-122.70904102,42.13801974,0.031562153163152,0.0202222222222222,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2002,2002,2002,2002
"Douglas-fir (east OR)","Other","Large","C0A0397","CA","Trail Creek","MTL4281",428,1,0,NA,"Conifer","C","stem","3",NA,"NO","PSME",90,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1185811.25,"Mid Slope",NA,2012,4,551,744,192,668,35.4330708661417,7.56927124574428,6.84770393252937,78,298,246,"Douglas-fir - Dry,Warm,Mid Slope",-122.8513559,42.70195813,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1936,1899,1936,1899
"Douglas-fir (east OR)","Other","Large","E010036","E01","Elder Creek","ED01_033_01",33,1,0,NA,"Conifer","E","density","0.1",NA,"NO","PSME",75.3,"0","OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME-CADE27-PIJE","Jeffrey pine","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1373326.375,"Mid Slope",NA,2014,4,604,825,222,799,29.6456692913386,5.69033736504783,4.79346883836981,158,151,95,"Jeffrey pine,Warm,Mid Slope",-123.56898085,42.052234,0.031562153163152,0.0202222222222222,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010
"Douglas-fir (east OR)","Other","Large","A090019","A09","Ashland","AW21_017_01",17,1,0,NA,"Conifer","A","density","0.1",NA,"NO","PSME",88.5,"0","OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"ABCO-PSME/ROGY","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",1007686.938,"Bottom Slope",NA,2011,4,571,821,250,946,34.8425196850394,7.36843550462591,6.62134927475965,101,216,152,"White fir - Intermediate,Cool,Bottom Slope",-122.71158292,42.16080867,0.031562153163152,0.0202222222222222,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007
"Douglas-fir (east OR)","Other","Large","B020046","B02","Big Butte","BB02_039_01",39,1,0,NA,"Conifer","B","density","0.1",NA,"NO","PSME",85,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1086339.875,"Mid Slope",NA,2012,4,564,770,206,656,33.4645669291339,6.90774559451811,6.10798282870675,243,302,196,"Douglas-fir - Dry,Cool,Mid Slope",-122.68996075,42.55889532,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1936,1899,1936,1899
"Douglas-fir (east OR)","Other","Large","C040013","C04","Trail Creek","TL04_002_01",2,1,0,NA,"Conifer","C","density","0.1",NA,"NO","PSME",110.9,"0","BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1201549.25,"Mid Slope",NA,2012,4,559,754,195,631,43.6614173228346,10.5719847318111,10.3973592101767,150,218,151,"Douglas-fir - Dry,Warm,Mid Slope",-122.84916668,42.70611117,0.031562153163152,0.0202222222222222,-62.1347745783129,-31.0673872891564,-12.8941307296188,-86.7663891415017,-43.3831945707508,-18.0056525853719,1981,1969,1981,1969
"Douglas-fir (east OR)","Other","Large","E080108","E08","Elder Creek","ED08_106_01",106,1,0,NA,"Conifer","E","density","0.1",NA,"NO","PSME",90,"0","BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"PSME-CADE27-PIJE","Jeffrey pine","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1404081,"Mid Slope",NA,2011,4,622,855,234,958,35.4330708661417,7.56927124574428,6.84770393252937,546,446,279,"Jeffrey pine,Warm,Mid Slope",-123.56574322,42.05530501,0.031562153163152,0.0202222222222222,-106.747012213497,-53.3735061067486,-22.152006502289,-156.010241339875,-78.0051206699374,-32.3750502137953,1958,1933,1958,1933
"Douglas-fir (east OR)","Other","Large","C0A0229","CA","Trail Creek","MTL2471",247,1,0,NA,"Conifer","C","stem","3",NA,"NO","PSME",95,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1185811.25,"Mid Slope",NA,2012,4,551,744,192,668,37.4015748031496,8.25322760033769,7.62969481371328,78,298,246,"Douglas-fir - Dry,Warm,Mid Slope",-122.8505422,42.70170922,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1936,1899,1936,1899
"Douglas-fir (east OR)","Other","Large","A160014","A16","Ashland","AW70_009_01",9,1,0,NA,"Conifer","A","density","0.1",NA,"NO","PSME",84.2,"0","BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",874518.625,"Mid Slope",NA,2012,4,566,801,235,1047,33.1496062992126,6.80401715307197,5.99355008743426,105,257,200,"Douglas-fir - Dry,Cool,Mid Slope",-122.70454467,42.15349977,0.031562153163152,0.0202222222222222,-62.1347745783129,-31.0673872891564,-12.8941307296188,-86.7663891415017,-43.3831945707508,-18.0056525853719,1981,1969,1981,1969
"Douglas-fir (east OR)","Other","Large","C100031","C10","Trail Creek","TL11_027_01",27,1,0,NA,"Conifer","C","density","0.1",NA,"NO","PSME",85.4,"0","BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1086468.625,"Bottom Slope",NA,2012,4,536,731,194,649,33.6220472440945,6.95983023713104,6.16560498920566,202,268,174,"Douglas-fir - Dry,Cool,Bottom Slope",-122.85432378,42.69575777,0.031562153163152,0.0202222222222222,-106.747012213497,-53.3735061067486,-22.152006502289,-156.010241339875,-78.0051206699374,-32.3750502137953,1959,1934,1959,1934
"Douglas-fir (east OR)","Other","Large","B050030","B05","Big Butte","BB05_025_01",25,1,0,NA,"Conifer","B","density","0.1",NA,"NO","PSME",90,"0","BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1165521.625,"Mid Slope",NA,2012,4,568,781,213,708,35.4330708661417,7.56927124574428,6.84770393252937,113,213,159,"Douglas-fir - Dry,Warm,Mid Slope",-122.68537821,42.55746269,0.031562153163152,0.0202222222222222,-106.747012213497,-53.3735061067486,-22.152006502289,-156.010241339875,-78.0051206699374,-32.3750502137953,1959,1934,1959,1934
"Douglas-fir (east OR)","Other","Large","M060022","M06","Emigrant Creek","EM06_020_01",20,1,0,NA,"Conifer","M","density","0.1",NA,"NO","PSME",110,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1132866.125,"Mid Slope",NA,2012,4,523,744,221,1044,43.3070866141732,10.4350455624349,10.2292861214328,182,414,307,"Douglas-fir - Dry,Warm,Mid Slope",-122.54216062,42.08905079,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1936,1899,1936,1899
"Douglas-fir (east OR)","Other","Large","B0A0614","BA","Big Butte","MBB4121",412,1,0,NA,"Conifer","B","stem","3",NA,"NO","PSME",100,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1127968.5,"Mid Slope",NA,2012,4,566,783,217,708,39.3700787401575,8.95913443551893,8.45395547225848,119,218,149,"Douglas-fir - Dry,Cool,Mid Slope",-122.6842806,42.55869433,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1936,1899,1936,1899
"Douglas-fir (east OR)","Other","Large","A0A0947","AA","Ashland","MPM18530",1853,1,0,NA,"Conifer","A","stem","3",NA,"NO","PSME",80.5,"0","BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1380267.375,"Mid Slope",NA,2011,4,524,660,136,1139,31.6929133858268,6.33197894373694,5.4783744949103,202,267,179,"Douglas-fir - Dry,Warm,Mid Slope",-122.7255741,42.14234805,0.031562153163152,0.0202222222222222,-106.747012213497,-53.3735061067486,-22.152006502289,-156.010241339875,-78.0051206699374,-32.3750502137953,1958,1933,1958,1933
"Douglas-fir (east OR)","Other","Large","M0A0524","MA","Emigrant Creek","MEM5181",518,1,0,NA,"Conifer","M","stem","3",NA,"NO","PSME",80,"0","BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1111147.75,"Mid Slope",NA,2012,4,529,736,207,1108,31.496062992126,6.2691697965796,5.41053150224543,99,316,246,"Douglas-fir - Dry,Cool,Mid Slope",-122.5464822,42.08989205,0.031562153163152,0.0202222222222222,-106.747012213497,-53.3735061067486,-22.152006502289,-156.010241339875,-78.0051206699374,-32.3750502137953,1959,1934,1959,1934
"Douglas-fir (east OR)","Other","Large","A290033","A29","Ashland","AW12_031_01",31,1,0,NA,"Conifer","A","density","0.1",NA,"NO","PSME",120,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1034562.438,"Bottom Slope",NA,2011,4,562,748,186,1156,47.244094488189,11.9937791357112,12.1736958800522,81,225,177,"White fir - Intermediate,Cool,Bottom Slope",-122.71152708,42.13816524,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1935,1898,1935,1898
"Douglas-fir (east OR)","Other","Large","B0A0349","BA","Big Butte","MBB1541",154,1,0,NA,"Conifer","B","stem","3",NA,"NO","PSME",130,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1127968.5,"Mid Slope",NA,2012,4,566,783,217,708,51.1811023622047,13.6324971981353,14.2871847481168,119,218,149,"Douglas-fir - Dry,Cool,Mid Slope",-122.6836581,42.55878501,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1936,1899,1936,1899
"Douglas-fir (east OR)","Other","Large","C0A0416","CA","Trail Creek","MTL4471",447,1,0,NA,"Conifer","C","stem","3",NA,"NO","PSME",90,"0","DOWN DEAD",8,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1185811.25,"Mid Slope",NA,2012,4,551,744,192,668,35.4330708661417,7.56927124574428,6.84770393252937,78,298,246,"Douglas-fir - Dry,Warm,Mid Slope",-122.8514573,42.70204318,0.031562153163152,0.0202222222222222,-151.359249848681,-75.6796249243407,-31.4098822749592,-225.254093538248,-112.627046769124,-46.7444478422186,1936,1899,1936,1899
