"rodne_uid","rodne_pid","site_name","uid","trid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year"
"A040011","A04","Ashland","AW77_078_01",78,1,0,65,"Hardwood","A","density",0.1,"A0411","YES","ARME",31.8,2,"LIVE",1,1914,2011,1914,0,99,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1321314.375,"Ridge Top",98,2012,6,559,840,281,954,12.5196850393701,1.43268081527461,0.854897793176666,142,217,143,"Douglas-fir - Dry,Warm,Ridge Top",-122.70430005,42.16953493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A040007","A04","Ashland","AW77_057_01",57,1,0,NA,"Conifer","A","density",0.1,"A0407","YES","PSME",69,1,"LIVE",1,1924,2012,1913,2.2,92,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1321314.375,"Ridge Top",99,2012,4,559,840,281,954,27.1653543307087,4.94794198200301,4.02492820034226,142,217,143,"Douglas-fir - Dry,Warm,Ridge Top",-122.70430005,42.16953493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A040009","A04","Ashland","AW77_061_01",61,1,0,95,"Hardwood","A","density",0.1,"A0409","YES","ARME",39.4,2,"LIVE",1,1918,2011,1910,1.6,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1321314.375,"Ridge Top",102,2012,6,559,840,281,954,15.511811023622,2.01864526927676,1.31235823169152,142,217,143,"Douglas-fir - Dry,Warm,Ridge Top",-122.70430005,42.16953493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A040010","A04","Ashland","AW77_062_01",62,1,0,58,"Hardwood","A","density",0.1,"A0410","YES","ARME",23,3,"LIVE",1,1908,2002,1907,0.35,92,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1321314.375,"Ridge Top",105,2012,6,559,840,281,954,9.05511811023622,0.853160207195707,0.447214244482473,142,217,143,"Douglas-fir - Dry,Warm,Ridge Top",-122.70430005,42.16953493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A040006","A04","Ashland","AW77_046_01",46,1,0,NA,"Conifer","A","density",0.1,"A0406","YES","PSME",39.5,2,"LIVE",1,1933,2012,1914,1.9,82,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1321314.375,"Ridge Top",98,2012,4,559,840,281,954,15.5511811023622,2.02684905319203,1.31902840255913,142,217,143,"Douglas-fir - Dry,Warm,Ridge Top",-122.70430005,42.16953493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A040005","A04","Ashland","AW77_034_01",34,1,0,NA,"Conifer","A","density",0.1,"A0405","YES","PIPO",77.5,1,"LIVE",1,1832,2012,1829,1.2,180,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1321314.375,"Ridge Top",183,2012,1,559,840,281,954,30.511811023622,5.95866236053408,5.07765700552525,142,217,143,"Douglas-fir - Dry,Warm,Ridge Top",-122.70430005,42.16953493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A050003","A05","Ashland","AW31_012_01",12,1,0,NA,"Conifer","A","density",0.1,"A0503","YES","PIPO",12.8,4,"LIVE",1,1977,2010,1975,0.4,35,NA,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1433473.375,"Ridge Top",36,2011,1,570,781,212,1248,5.03937007874016,0.334042715000915,0.138509606457483,154,285,206,"Ponderosa pine - Dry,Warm,Ridge Top",-122.73195903,42.16751545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A050008","A05","Ashland","AW31_021_01",21,1,0,NA,"Conifer","A","density",0.1,"A0508","YES","PIPO",33.1,3,"LIVE",1,1952,2011,1947,1,58,NA,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1433473.375,"Ridge Top",64,2011,1,570,781,212,1248,13.0314960629921,1.52753385177617,0.926223815496111,154,285,206,"Ponderosa pine - Dry,Warm,Ridge Top",-122.73195903,42.16751545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A050001","A05","Ashland","AW31_003_01",3,1,0,NA,"Conifer","A","density",0.1,"A0501","YES","PSME",52.6,2,"LIVE",1,1920,2010,1916,0.6,94,NA,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1433473.375,"Ridge Top",95,2011,4,570,781,212,1248,20.7086614173228,3.20511224996927,2.33900658424259,154,285,206,"Ponderosa pine - Dry,Warm,Ridge Top",-122.73195903,42.16751545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A050005","A05","Ashland","AW31_004_01",4,1,0,NA,"Conifer","A","density",0.1,"A0505","YES","PSME",31.2,3,"LIVE",1,1943,2006,1936,1.4,72,NA,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1433473.375,"Ridge Top",75,2011,4,570,781,212,1248,12.2834645669291,1.38967550919239,0.822941841491529,154,285,206,"Ponderosa pine - Dry,Warm,Ridge Top",-122.73195903,42.16751545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A050002","A05","Ashland","AW31_027_01",27,1,0,NA,"Conifer","A","density",0.1,"A0502","YES","PIPO",89.5,1,"LIVE",1,1715,1998,NA,NA,293,NA,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1433473.375,"Ridge Top",NA,2011,1,570,781,212,1248,35.2362204724409,7.50210105524943,6.77182968216585,154,285,206,"Ponderosa pine - Dry,Warm,Ridge Top",-122.73195903,42.16751545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A050009","A05","Ashland","AW31_042_01",42,1,0,NA,"Conifer","A","density",0.1,"A0509","YES","PSME",69.9,1,"LIVE",1,1949,2010,1936,4.55,63,NA,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1433473.375,"Ridge Top",75,2011,4,570,781,212,1248,27.5196850393701,5.05160674669192,4.13061109770097,154,285,206,"Ponderosa pine - Dry,Warm,Ridge Top",-122.73195903,42.16751545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A060001","A06","Ashland","AW38_001_01",1,1,0,NA,"Conifer","A","density",0.1,"A0601","YES","PSME",82.3,2,"LIVE",1,1766,2011,1752,3.5,274,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1093263.25,"Bottom Slope",259,2011,4,543,758,214,840,32.4015748031496,6.56002946035477,5.72610920606936,129,263,191,"Douglas-fir - Dry,Cool,Bottom Slope",-122.70672469,42.16694109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A060006","A06","Ashland","AW38_043_01",43,1,0,NA,"Conifer","A","density",0.1,"A0606","YES","PSME",28.5,4,"LIVE",1,1928,2011,1917,1.1,90,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1093263.25,"Bottom Slope",94,2011,4,543,758,214,840,11.2204724409449,1.20231379310693,0.686672533234195,129,263,191,"Douglas-fir - Dry,Cool,Bottom Slope",-122.70672469,42.16694109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A060002","A06","Ashland","AW38_002_01",2,1,0,NA,"Conifer","A","density",0.1,"A0602","YES","CADE",19.8,4,"LIVE",1,1915,2011,1911,0.8,98,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1093263.25,"Bottom Slope",100,2011,7,543,758,214,840,7.79527559055118,0.671321193221177,0.331428870334421,129,263,191,"Douglas-fir - Dry,Cool,Bottom Slope",-122.70672469,42.16694109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A060003","A06","Ashland","AW38_003_01",3,1,0,NA,"Conifer","A","density",0.1,"A0603","YES","PSME",24.5,3,"LIVE",1,1908,2011,1908,0,104,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1093263.25,"Bottom Slope",103,2011,4,543,758,214,840,9.64566929133858,0.94391261086494,0.507448677222315,129,263,191,"Douglas-fir - Dry,Cool,Bottom Slope",-122.70672469,42.16694109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A060004","A06","Ashland","AW38_025_01",25,1,0,NA,"Conifer","A","density",0.1,"A0604","YES","PSME",77.6,1,"LIVE",1,1736,2010,1735,0.3,284,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1093263.25,"Bottom Slope",276,2011,4,543,758,214,840,30.5511811023622,5.97096887623547,5.09076909046272,129,263,191,"Douglas-fir - Dry,Cool,Bottom Slope",-122.70672469,42.16694109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A070005","A07","Ashland","AW69_013_01",13,1,0,NA,"Conifer","A","density",0.1,"A0705","YES","PSME",91.4,1,"LIVE",1,1853,2012,1844,1.8,155,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",168,2012,4,534,738,204,923,35.9842519685039,7.75853934000521,7.06240058570284,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A070004","A07","Ashland","AW69_010_01",10,1,0,48,"Hardwood","A","density",0.1,"A0704","YES","ARME",12.8,4,"LIVE",1,1973,2012,1972,0.3,36,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",40,2012,6,534,738,204,923,5.03937007874016,0.334042715000915,0.138509606457483,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A070007","A07","Ashland","AW69_035_01",35,1,0,NA,"Conifer","A","density",0.1,"A0707","YES","PSME",15.2,4,"LIVE",1,1903,1997,1903,0,92,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",109,2012,4,534,738,204,923,5.98425196850394,0.439760071045044,0.19532018723106,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A070006","A07","Ashland","AW69_015_01",15,1,0,NA,"Conifer","A","density",0.1,"A0706","YES","PSME",37.4,3,"LIVE",1,1916,2012,1914,0.2,97,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",98,2012,4,534,738,204,923,14.7244094488189,1.85720830443258,1.18250547563763,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A070002","A07","Ashland","AW69_002_01",2,1,1,88,"Hardwood","A","density",0.1,"A0702","YES","ARME",11.2,4,"LIVE",1,1972,2012,1971,0.4,24,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",41,2012,6,534,738,204,923,4.40944881889764,0.269783192536893,0.10604641744401,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A070001","A07","Ashland","AW69_001_01",1,1,0,NA,"Conifer","A","density",0.1,"A0701","YES","PSME",47.3,2,"LIVE",1,1930,2008,1910,2,79,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",102,2012,4,534,738,204,923,18.6220472440945,2.70423157013709,1.89139500385292,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A080003","A08","Ashland","AW71_023_01",23,1,0,NA,"Conifer","A","density",0.1,"A0803","YES","PIPO",23.4,3,"LIVE",1,1906,1978,1894,2.4,97,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1166229.25,"Mid Slope",118,2012,1,573,841,268,989,9.21259842519685,0.877023893271918,0.462904785838985,198,274,173,"Douglas-fir - Dry,Warm,Mid Slope",-122.70036883,42.16489417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A080001","A08","Ashland","AW71_009_01",9,1,0,NA,"Conifer","A","density",0.1,"A0801","YES","PSME",37.5,3,"LIVE",1,1897,2011,1895,0.6,116,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1166229.25,"Mid Slope",117,2012,4,573,841,268,989,14.7637795275591,1.86515995154749,1.18883748828635,198,274,173,"Douglas-fir - Dry,Warm,Mid Slope",-122.70036883,42.16489417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A080004","A08","Ashland","AW71_037_01",37,1,0,NA,"Conifer","A","density",0.1,"A0804","YES","PSME",53,2,"LIVE",1,1929,2010,1920,2.7,97,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1166229.25,"Mid Slope",92,2012,4,573,841,268,989,20.8661417322835,3.2441986913235,2.37471609215741,198,274,173,"Douglas-fir - Dry,Warm,Mid Slope",-122.70036883,42.16489417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012
"A090003","A09","Ashland","AW21_009_01",9,1,0,NA,"Conifer","A","density",0.1,"A0903","YES","PSME",10.5,4,"LIVE",1,1962,2004,1959,0.45,44,NA,"ABCO-PSME/ROGY","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",1007686.938,"Bottom Slope",52,2011,4,571,821,250,946,4.13385826771654,0.243315027210971,0.0932048590816497,101,216,152,"White fir - Intermediate,Cool,Bottom Slope",-122.71158292,42.16080867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
"A090002","A09","Ashland","AW21_007_01",7,1,0,NA,"Conifer","A","density",0.1,"A0902","YES","PSME",30,3,"LIVE",1,1911,1981,1909,0.6,94,NA,"ABCO-PSME/ROGY","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",1007686.938,"Bottom Slope",102,2011,4,571,821,250,946,11.8110236220472,1.30514889783034,0.760855992503263,101,216,152,"White fir - Intermediate,Cool,Bottom Slope",-122.71158292,42.16080867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
