"rodne_uid","snag_spcd_group","snag_slope","snag_dbh","rodne_pid","site_name","uid","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","metlen_age","harvest_date","pvt","insol","tpi","year_sampled","true_age","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","rodne_age_low_pi","rodne_age_mode","rodne_age_stdev","rodne_age_upp_pi","model_pith","model_age","radius_cm"
"A020045","Pacific madrone","Other","Medium","A02","Ashland","AW15_017_05","A","density","0.1",NA,"NO","ARME",22,"0","OLDER DEAD","4",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,8.66141732283465,0.794588623424356,0.40917144485731,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0831666666666667,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,26.8044648616086,13.4895257285609,33.7040159153044,78.7043575665687,1994,13,11
"A020046","Pacific madrone","Other","Small","A02","Ashland","AW15_017_06","A","density","0.1",NA,"NO","ARME",11.1,"0","RECENT DEAD","3",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,4.37007874015748,0.26593948259393,0.104161185373697,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,19.9718828205027,10.1574389612187,37.7376317774124,59.7002330619442,2001,10,5.55
"A020050","Douglas-fir (east OR)","Other","Medium","A02","Ashland","AW15_022_01","A","density","0.1",NA,"NO","PSME",25,"0","BROKEN BUTT SNAG","7",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",565,761,197,1290,9.84251968503937,0.974922441185839,0.528372217016155,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0351666666666667,-106.747012213497,-53.3735061067486,-22.152006502289,-97.7422313094824,-48.8711156547412,-20.2833456283109,1958,1962,1958,1962,28.2873315789128,13.9493141141006,50.7831552263905,82.6226753619188,1948,14,12.5
"A020051","Douglas-fir (east OR)","Other","Medium","A02","Ashland","AW15_023_01","A","density","0.1",NA,"NO","PSME",37,"0","BROKEN BUTT SNAG","7",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",565,761,197,1290,14.5669291338583,1.82552931717764,1.15734650415219,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0351666666666667,-106.747012213497,-53.3735061067486,-22.152006502289,-97.7422313094824,-48.8711156547412,-20.2833456283109,1958,1962,1958,1962,33.4230109466451,16.425051450613,68.2952562762721,97.4673838539854,1946,16,18.5
"A020052","Douglas-fir (east OR)","Other","Medium","A02","Ashland","AW15_024_01","A","density","0.1",NA,"NO","PSME",74.3,"0","CUT STUMP","2",NA,NA,NA,NA,1990,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",565,761,197,1290,29.251968503937,5.56990971314593,4.66699766450482,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0351666666666667,NA,NA,NA,NA,NA,NA,NA,NA,1990,1990,44.3493576669257,21.9436610938789,63.0797553106065,129.795471644738,1968,22,37.15
"A020053","Douglas-fir (east OR)","Other","Small","A02","Ashland","AW15_025_01","A","density","0.1",NA,"NO","PSME",23,"0","CLEAN SNAG","5",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",565,761,197,1290,9.05511811023622,0.853160207195707,0.447214244482473,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0841111111111111,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2002,2002,2002,2002,27.1575432163049,13.7561461411429,43.5305804726954,80.3858113285288,1988,14,11.5
"A020054","Douglas-fir (east OR)","Other","Medium","A02","Ashland","AW15_026_01","A","density","0.1",NA,"NO","PSME",55.2,"0","CUT STUMP","2",NA,NA,NA,NA,1990,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",565,761,197,1290,21.7322834645669,3.46233094860405,2.57595404821905,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0351666666666667,NA,NA,NA,NA,NA,NA,NA,NA,1990,1990,39.3428233274923,19.4293576609254,62.0946079103305,114.45623094189,1971,19,27.6
"A020064","Douglas-fir (east OR)","Other","Medium","A02","Ashland","AW15_033_01","A","density","0.1",NA,"NO","PSME",75,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",565,761,197,1290,29.5275590551181,5.65410767550452,4.75534995314539,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0351666666666667,-151.359249848681,-75.6796249243407,-31.4098822749592,-137.852078492659,-68.9260392463297,-28.6068909639921,1935,1942,1935,1942,44.5829553277863,22.3404180154087,46.111031617358,130.589323384511,1920,22,37.5
"A020076","Pacific madrone","Other","Medium","A02","Ashland","AW15_039_06","A","density","0.1",NA,"NO","ARME",22,"0","CLEAN SNAG","5",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,8.66141732283465,0.794588623424356,0.40917144485731,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0831666666666667,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2002,2002,2002,2002,26.755691153892,13.3101568752404,41.1095789439433,78.533480657465,1989,13,11
"A020080","Pacific madrone","Other","Small","A02","Ashland","AW15_041_04","A","density","0.1",NA,"NO","ARME",10.9,"0","RECENT DEAD","3",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,4.29133858267717,0.258314300714895,0.100441444965903,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,19.8905540159044,10.1105625382727,26.5171249428001,58.8889038932794,2001,10,5.45
"A020094","Pacific madrone","Other","Small","A02","Ashland","AW15_046_04","A","density","0.1",NA,"NO","ARME",11,"0","OLDER DEAD","4",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,4.33070866141732,0.262116493604645,0.102292861214328,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,20.0359547558954,10.1127996390222,31.2910542707404,58.9487922070928,1997,10,5.5
"A020108","Pacific madrone","Other","Small","A02","Ashland","AW15_049_07","A","density","0.1",NA,"NO","ARME",11.9,"0","RECENT DEAD","3",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"6",565,761,197,1290,4.68503937007874,0.297263229453207,0.119716463442652,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,20.6330348725758,10.4675084313086,53.6284393369218,61.2317686441037,2001,10,5.95
"A020111","Douglas-fir (east OR)","Other","Small","A02","Ashland","AW15_052_01","A","density","0.1",NA,"NO","PSME",19,"0","OLDER DEAD","4",NA,NA,NA,NA,NA,"White fir - Intermediate","Warm","Mid Slope",2011,NA,"4",565,761,197,1290,7.48031496062992,0.628451569140058,0.305187792548531,368,319,177,"White fir - Intermediate,Warm,Mid Slope",0.031562153163152,0.0841111111111111,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,25.0831064852486,12.459985092294,45.5189467974266,73.9017392365435,1995,12,9.5
"A030013","Pacific madrone","Other","Medium","A03","Ashland","AW27_002_03","A","density","0.1",NA,"NO","ARME",38,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"6",517,645,128,998,14.9606299212598,1.90510890919008,1.22075117019412,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0497322111706197,0.0831666666666667,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.8753260570119,-17.4376630285059,-7.23728405661826,1988,1994,1988,1994,28.3413047623222,14.4002186449003,74.267808646471,84.3320995795059,1980,14,19
"A030014","Pacific madrone","Other","Small","A03","Ashland","AW27_002_04","A","density","0.1",NA,"NO","ARME",2.5,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"6",517,645,128,998,0.984251968503937,0.024488944517889,0.00528372217016155,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0497322111706197,0.0850555555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.504947450749,-17.2524737253745,-7.16042355135339,1988,1994,1988,1994,8.96916443580895,4.69545968877255,6.23851566141217,27.2279739567416,1989,5,1.25
"A030017","Ponderosa pine (OR)","Other","Medium","A03","Ashland","AW27_007_01","A","density","0.1",NA,"NO","PIPO",50,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"1",517,645,128,998,19.6850393700787,2.95541219033627,2.11348886806462,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0330771475824497,0.074,-145.32352174822,-72.66176087411,-30.157355526388,-75.7783614470334,-37.8891807235167,-15.7254308172125,1938,1973,1938,1973,39.4559999055542,19.9529908046573,70.1602913833234,117.097725575005,1953,20,25
"A030021","Ponderosa pine (OR)","Other","Large","A03","Ashland","AW27_011_01","A","density","0.1",NA,"NO","PIPO",80,"0","BROKEN BUTT SNAG","7",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"1",517,645,128,998,31.496062992126,6.2691697965796,5.41053150224543,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0330771475824497,0.0312222222222222,-102.723193479856,-51.3615967399281,-21.3169886699082,-107.703501898882,-53.8517509494408,-22.350496045843,1960,1957,1960,1957,48.1766263038878,24.3385940423783,80.4250139861254,143.304230507867,1933,24,40
"A030031","Pacific madrone","Other","Small","A03","Ashland","AW27_020_03","A","density","0.1",NA,"NO","ARME",11,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"6",517,645,128,998,4.33070866141732,0.262116493604645,0.102292861214328,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0497322111706197,0.0850555555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.504947450749,-17.2524737253745,-7.16042355135339,1988,1994,1988,1994,16.9341584256869,8.6354431123764,15.0185728532947,50.4666804996227,1985,9,5.5
"A030032","Pacific madrone","Other","Small","A03","Ashland","AW27_020_04","A","density","0.1",NA,"NO","ARME",7.5,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"6",517,645,128,998,2.95275590551181,0.14202476352394,0.0475534995314539,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0497322111706197,0.0850555555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.504947450749,-17.2524737253745,-7.16042355135339,1988,1994,1988,1994,14.319721208052,7.40356503047353,32.9196064473456,43.0225956930513,1987,7,3.75
"A030037","Douglas-fir (east OR)","Other","Medium","A03","Ashland","AW27_026_01","A","density","0.1",NA,"NO","PSME",40,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"4",517,645,128,998,15.748031496063,2.06805478514132,1.35263287556136,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.031562153163152,0.0351666666666667,-151.359249848681,-75.6796249243407,-31.4098822749592,-137.852078492659,-68.9260392463297,-28.6068909639921,1935,1942,1935,1942,28.9400927312281,14.8300580656284,87.6595177997965,86.5441471148909,1927,15,20
"A030039","Douglas-fir (east OR)","Other","Small","A03","Ashland","AW27_029_01","A","density","0.1",NA,"NO","PSME",22,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"4",517,645,128,998,8.66141732283465,0.794588623424356,0.40917144485731,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.031562153163152,0.0841111111111111,-151.359249848681,-75.6796249243407,-31.4098822749592,-69.0191014189292,-34.5095507094646,-14.3227576276926,1935,1976,1935,1976,22.4378818330443,11.3984098365105,39.259130108138,66.6256996758705,1965,11,11
"A030043","Douglas-fir (east OR)","Other","Medium","A03","Ashland","AW27_034_01","A","density","0.1",NA,"NO","PSME",40,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"4",517,645,128,998,15.748031496063,2.06805478514132,1.35263287556136,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.031562153163152,0.0351666666666667,-151.359249848681,-75.6796249243407,-31.4098822749592,-137.852078492659,-68.9260392463297,-28.6068909639921,1935,1942,1935,1942,28.9696303193624,14.6009871279851,42.5742102998789,85.8918933906548,1927,15,20
"A030044","Ponderosa pine (OR)","Other","Large","A03","Ashland","AW27_035_01","A","density","0.1",NA,"NO","PIPO",70,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"1",517,645,128,998,27.5590551181102,5.06317475677468,4.14243818140665,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0330771475824497,0.0312222222222222,-145.32352174822,-72.66176087411,-30.157355526388,-152.793984376758,-76.3969921883791,-31.7076165902902,1938,1935,1938,1935,45.4503644142329,23.2172901042327,57.0638512614756,136.211171111372,1912,23,35
"A030048","Pacific madrone","Other","Small","A03","Ashland","AW27_039_01","A","density","0.1",NA,"NO","ARME",19,"0","BROKEN BUTT SNAG","7",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"6",517,645,128,998,7.48031496062992,0.628451569140058,0.305187792548531,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0497322111706197,0.0850555555555556,-74.647978679063,-37.3239893395315,-15.4908551985894,-51.4873579583693,-25.7436789791847,-10.6845921457581,1974,1985,1974,1985,20.8777926637467,10.9587324443265,33.0653085830169,63.9043860265699,1974,11,9.5
"A030049","Douglas-fir (east OR)","Other","Small","A03","Ashland","AW27_040_01","A","density","0.1",NA,"NO","PSME",23.7,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"4",517,645,128,998,9.33070866141732,0.89508320243514,0.474850224921286,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.031562153163152,0.0841111111111111,-62.1347745783129,-31.0673872891564,-12.8941307296188,-34.6880584350622,-17.3440292175311,-7.19842251386331,1980,1994,1980,1994,23.2281482593826,11.6748600176511,40.8209223452418,68.7786032042031,1982,12,11.85
"A030056","Pacific madrone","Other","Small","A03","Ashland","AW27_045_04","A","density","0.1",NA,"NO","ARME",10,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"6",517,645,128,998,3.93700787401575,0.225043282266502,0.0845395547225848,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0497322111706197,0.0850555555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.504947450749,-17.2524737253745,-7.16042355135339,1988,1994,1988,1994,16.1489219198066,8.38568801992163,26.1626570857228,48.5135446427913,1986,8,5
"A030067","Pacific madrone","Other","Medium","A03","Ashland","AW27_054_03","A","density","0.1",NA,"NO","ARME",20.5,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"6",517,645,128,998,8.07086614173228,0.709695793509139,0.355277478721663,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0497322111706197,0.0831666666666667,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.8753260570119,-17.4376630285059,-7.23728405661826,1988,1994,1988,1994,21.8679004862529,11.1597068884005,40.9239880607253,64.985346928486,1983,11,10.25
"A030075","Ponderosa pine (OR)","Other","Large","A03","Ashland","AW27_061_01","A","density","0.1",NA,"NO","PIPO",92,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,"Douglas-fir - Moist","Warm","Bottom Slope",2011,NA,"1",517,645,128,998,36.2204724409449,7.8401898124371,7.15542791171957,328,260,149,"Douglas-fir - Moist,Warm,Bottom Slope",0.0330771475824497,0.0312222222222222,-60.1228652114924,-30.0614326057462,-12.4766218134284,-62.6130194210052,-31.3065097105026,-12.9933755013958,1981,1980,1981,1980,50.9946636351345,26.1378184826395,91.5217592938954,152.798334429547,1954,26,46
