"rodne_nid","rodne_pid","trid","rodne_uid","site_name","uid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","multi_add","ci_age_lower","predicted_age","ci_age_upper","pred_pith","diam_cm_1911","diam_cm_1850","live_in_1911","age_in_1911","live_in_1850","age_in_1850","ci_diam_lower","predicted_diam","ci_diam_upper"
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7521151429182,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No",36,49,87,1913,NA,NA,"No",0,"No",0,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7521151429182,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,"No",36,49,87,1913,NA,NA,"No",0,"No",0,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,73,95,1816,NA,NA,"No",95,"Yes",34,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,73,95,1816,NA,NA,"No",95,"Yes",34,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,73,95,1816,NA,NA,"No",95,"Yes",34,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,73,95,1816,NA,NA,"No",95,"Yes",34,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,49,87,1840,NA,NA,"No",71,"Yes",10,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,49,87,1840,NA,NA,"No",71,"Yes",10,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,49,87,1840,NA,NA,"No",71,"Yes",10,0,0,0
6,"A01",14,"A010051_new","Ashland","AW14_014_02_new","1_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,49,87,1840,NA,NA,"No",71,"Yes",10,0,0,0
7,"A01",14,"A010051_new_new","Ashland","AW14_014_02_new_new","1_new_new",1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,49,87,1840,NA,NA,"No",71,"Yes",10,0,0,0
8,"A01",14,"A010052_new","Ashland","AW14_014_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.2992125984252,0.477373191029495,0.216421260089817,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,49,87,1840,NA,NA,"No",71,"Yes",10,0,0,0
9,"A01",14,"A010053_new","Ashland","AW14_014_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.96850393700787,0.561078050822202,0.264853970990386,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,49,87,1840,NA,NA,"No",71,"Yes",10,0,0,0
10,"A01",14,"A010054_new","Ashland","AW14_014_05_new","4_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,5.70866141732283,0.407807169792628,0.177744413804234,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,49,87,1840,NA,NA,"No",71,"Yes",10,0,0,0
11,"A01",14,"A010055_new","Ashland","AW14_014_06_new","5_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5956408994518,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.69291338582677,0.525998284346066,0.24431931314827,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,NA,36,49,87,1840,NA,NA,"No",71,"Yes",10,0,0,0
12,"A01",18,"A010063_new","Ashland","AW14_018_02_new","1_new",1,70,"Hardwood","A","density",0.1,NA,"NO","ARME",19.540050243115,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,8.97637795275591,0.841321153511681,0.439470421269885,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1947,NA,35.9,48,75,1899,NA,NA,"Yes",12,"No",0,2.66500256956171,3.47299344300664,3.46216710300623
13,"A01",18,"A010064_new","Ashland","AW14_018_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",19.540050243115,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,4.25196850393701,0.254532980033102,0.0986069366284229,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1947,NA,35.9,48,75,1899,NA,NA,"Yes",12,"No",0,2.66500256956171,3.47299344300664,3.46216710300623
14,"A01",18,"A010065_new","Ashland","AW14_018_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",19.540050243115,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.77165354330709,0.535934319145155,0.250101818691295,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1947,NA,35.9,48,75,1899,NA,NA,"Yes",12,"No",0,2.66500256956171,3.47299344300664,3.46216710300623
15,"A02",15,"A020038_new","Ashland","AW15_015_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",24.3796361897565,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,8.03149606299213,0.704164815654353,0.351819810933509,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"No",31,36,46,1931,NA,NA,"No",0,"No",0,0,0,0
16,"A02",35,"A020067_new","Ashland","AW15_035_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",36.0921749930884,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,3.93700787401575,0.225043282266502,0.0845395547225848,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"No",41,54,106,1913,NA,NA,"No",0,"No",0,0,0,0
17,"A02",39,"A020072_new","Ashland","AW15_039_02_new","1_new",1,160,"Hardwood","A","density",0.1,NA,"NO","ARME",30.0654707386489,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,15.1968503937008,1.95346547883654,1.25960554954462,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,NA,31,37,52,1889,NA,NA,"Yes",22,"No",0,4.81511912893246,8.28334940974064,10.8168663592415
18,"A02",39,"A020073_new","Ashland","AW15_039_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",30.0654707386489,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,10.1968503937008,1.03168157850626,0.567099787034571,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,NA,31,37,52,1889,NA,NA,"Yes",22,"No",0,4.81511912893246,8.28334940974064,10.8168663592415
19,"A02",39,"A020074_new","Ashland","AW15_039_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",30.0654707386489,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,12.992125984252,1.52015669735092,0.920635750928948,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,NA,31,37,52,1889,NA,NA,"Yes",22,"No",0,4.81511912893246,8.28334940974064,10.8168663592415
20,"A02",39,"A020075_new","Ashland","AW15_039_05_new","4_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",30.0654707386489,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,12.3228346456693,1.39680889978339,0.828225563661691,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,NA,31,37,52,1889,NA,NA,"Yes",22,"No",0,4.81511912893246,8.28334940974064,10.8168663592415
21,"A02",39,"A020076_new","Ashland","AW15_039_06_new","5_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",30.0654707386489,0,"CLEAN SNAG",5,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,8.66141732283465,0.794588623424356,0.40917144485731,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,"Pacific madrone","Other","Medium",0.0497322111706197,0.0831666666666667,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2002,2002,2002,2002,1926,NA,31,37,52,1889,NA,NA,"Yes",22,"No",0,4.81511912893246,8.28334940974064,10.8168663592415
