"rodne_nid","rodne_pid","trid","rodne_uid","site_name","uid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","ci_age_lower","predicted_age","ci_age_upper","pred_pith","diam_cm_1911","live_in_1911","age_in_1911","ci_1911_diam_lower","predicted_1911_diam","ci_1911_diam_upper"
17,"A07",75,"A070101_001_new","Ashland","AW69_075_05_001_new","5_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",31.860737972656,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,2.95275590551181,0.14202476352394,0.0475534995314539,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,40,98,109,1828,NA,"Yes",83,21.4586833795809,25.1167978655621,37.3730747477743
18,"A07",82,"A070112_new","Ashland","AW69_082_02_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",19.9354961958759,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,0.984251968503937,0.024488944517889,0.00528372217016155,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1927,40,86,109,1841,NA,"Yes",70,12.1156591639871,14.1316878636609,21.4586833795809
19,"A09",31,"A090035_new","Ashland","AW21_031_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ACMA",20.3245047090546,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"ABCO-PSME/ROGY","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",1007686.938,"Bottom Slope",NA,2011,6,571,821,250,946,7.83464566929134,0.676754224839765,0.334785090656908,101,216,152,"White fir - Intermediate,Cool,Bottom Slope",-122.71158292,42.16080867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921,52,90,105,1831,NA,"Yes",80,14.2192334541851,23.1849077443901,32
20,"AB",1087,"A0B0091_new","Ashland","MPR108198_new","1_new",1,60,"Hardwood","A","stem",3,NA,"NO","ARME",13.3789987109798,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,8.38582677165354,0.754524626285682,0.383547505820895,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6952722,42.14464037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921,48,73,100,1848,NA,"Yes",63,12.1156591639871,14.5989496592562,16.6726262515128
21,"AB",1108,"A0B0121_new","Ashland","MPR110858_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",15.9817878004244,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,5.31496062992126,0.363747555160172,0.154073338481911,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6950582,42.14424364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1918,48,72,100,1846,NA,"Yes",65,12.1156591639871,14.7603035385465,16.6726262515128
22,"AB",1183,"A0B0201_new","Ashland","MPR118377_new","1_new",1,75,"Hardwood","A","stem",3,NA,"NO","ARME",14.0968796983109,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,11.3779527559055,1.22942659006973,0.7060828149985,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6947575,42.14444365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1918,48,73,100,1845,NA,"Yes",66,12.1156591639871,14.5989496592562,16.6726262515128
23,"AB",1186,"A0B0206_new","Ashland","MPR118664_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",19.1087742307032,0,"CLEAN SNAG",5,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,4.60629921259843,0.289309991277284,0.115726196459746,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6948738,42.14439697,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2002,2002,2002,2002,1921,48,90,100,1831,NA,"Yes",80,14.2192334541851,23.1849077443901,32
24,"AB",1189,"A0B0209_new","Ashland","MPR118933_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",17.0156074966077,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,5.86614173228346,0.425955355407758,0.18768626543961,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6947728,42.14462874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,48,75,100,1854,NA,"Yes",57,12.1156591639871,13.7396037239034,14.9969784370279
25,"AB",1191,"A0B0211_new","Ashland","MPR119149_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",18.535461012026,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,4.76377952755905,0.305297076756247,0.123774362069336,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6947668,42.14463933,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,1921,48,90,100,1831,NA,"Yes",80,14.2192334541851,23.0548779261318,32
26,"AB",120,"A0B0228_new","Ashland","MPR12062_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",18.4961125525577,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,5.35433070866142,0.368068208040462,0.156364360414893,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6940316,42.14449715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1937,48,90,100,1847,NA,"Yes",64,12.1156591639871,14.761524185165,16.6726262515128
27,"AB",1210,"A0B0234_new","Ashland","MPR121069_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",18.1606525725559,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,6.10236220472441,0.45372924288435,0.20310628022101,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6948053,42.14467606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1939,48,75,100,1864,NA,"Yes",47,9.79140682433679,10.1324664641772,12.3272667020148
28,"AB",1279,"A0B0312_new","Ashland","MPR127926_new","3_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",41.228571219904,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,7.20472440944882,0.591817491696152,0.283114514810464,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6949414,42.14493288,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,1918,74,97,103,1821,NA,"Yes",90,19.986387921351,28.5288111055449,32
29,"AB",1338,"A0B0384_new","Ashland","MPR133857_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",26.1307127108009,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,6.61417322834646,0.516132140427898,0.238604439249023,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6953544,42.14503138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921,64,90,100.075,1831,NA,"Yes",80,16.6726262515128,23.5005359239639,32
30,"AB",1344,"A0B0390_new","Ashland","MPR134449_new","1_new",1,60,"Hardwood","A","stem",3,NA,"NO","ARME",13.8820914321088,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,7.08661417322835,0.576370920806797,0.273908157301175,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6952808,42.14512154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1937,48,73,100,1864,NA,"Yes",47,4.16469270973809,10.2333811228577,12.3272667020148
31,"AB",1474,"A0B0547_new","Ashland","MPR147417_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",19.9961383073148,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,6.41732283464567,0.491774743404415,0.224613142942436,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6947469,42.14510439,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-46.0852578110958,-23.0426289055479,-9.56355507776901,-27.8346365876187,-13.9173182938093,-5.77620898133034,1988,1997,1988,1997,1921,48,90,100,1831,NA,"Yes",80,14.2192334541851,23.1849077443901,32
32,"AB",153,"A0B0621_new","Ashland","MPR15357_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",30.0698555784353,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,3.34645669291339,0.173514724311901,0.0610798282870675,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6942772,42.14432546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921,86,93,103,1828,NA,"Yes",83,21.4586833795809,29.3461772274646,32
33,"AB",1546,"A0B0635_new","Ashland","MPR154657_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",24.2525103882305,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,6.45669291338583,0.496610857382383,0.227377586381864,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6940617,42.1451813,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,1914,48,94,100,1820,NA,"Yes",91,21.4586833795809,29.2150477583593,32
34,"AB",1549,"A0B0639_new","Ashland","MPR154939_new","2_new",1,NA,"Hardwood","A","stem",3,NA,"NO","ARME",10.1765753296837,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,7.59842519685039,0.644403288186643,0.314901387386156,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.69409,42.14515824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1918,48,73,100,1845,NA,"Yes",66,12.1156591639871,14.5561971533293,16.6726262515128
35,"AB",1622,"A0B0729_new","Ashland","MPR162251_new","1_new",1,90,"Hardwood","A","stem",3,NA,"NO","ARME",26.4283548907039,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1273804.375,"Ridge Top",NA,2011,6,589,834,245,1209,8.62204724409449,0.788817682073436,0.405460158404989,175,284,190,"White fir - Intermediate,Warm,Ridge Top",-122.6933257,42.14523044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921,64,90,100.075,1831,NA,"Yes",80,16.6726262515128,23.5005359239639,32
