"rodne_nid","rodne_uid","rodne_pid","site_name","uid","trid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","ci_age_lower","predicted_age","ci_age_upper","pred_pith"
13,"A010013","A01","Ashland","AW14_002_05",2,4,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",18.5,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.28346456692913,0.602200093840932,0.289336626038046,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,75,1962
14,"A010014","A01","Ashland","AW14_002_06",2,5,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",17.5,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.88976377952756,0.550968704572115,0.258902386337916,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,75,1962
15,"A010015","A01","Ashland","AW14_002_07",2,6,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",12.9,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,5.07874015748031,0.338228025179688,0.140682273013853,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,75.025,1962
16,"A010016","A01","Ashland","AW14_002_08",2,7,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",18.9,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.44094488188976,0.623167707417467,0.301983743424545,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
17,"A010017","A01","Ashland","AW14_003_02",3,1,1,110,"Hardwood","A","density",0.1,NA,"NO","ARME",21,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,8.26771653543307,0.737593235249194,0.372819436326599,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
18,"A010018","A01","Ashland","AW14_003_03",3,2,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",10.2,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,4.01574803149606,0.232287761185964,0.0879549527333772,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,2011,36,49,76,1962
19,"A010019","A01","Ashland","AW14_003_04",3,3,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",18.4,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.24409448818898,0.59700032866904,0.286217116468783,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,75,1962
20,"A010020","A01","Ashland","AW14_003_05",3,4,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",11.9,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,4.68503937007874,0.297263229453207,0.119716463442652,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,76,1962
21,"A010021","A01","Ashland","AW14_003_06",3,5,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",19.4,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.63779527559055,0.649753789828802,0.31817306815392,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
22,"A010022","A01","Ashland","AW14_003_07",3,6,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",12.7,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,5,0.329876977693224,0.136353847812057,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,76,1962
23,"A010023","A01","Ashland","AW14_003_08",3,7,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",20.4,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,8.03149606299213,0.704164815654353,0.351819810933509,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
24,"A010024","A01","Ashland","AW14_004_03",4,2,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",19.4,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.63779527559055,0.649753789828802,0.31817306815392,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
25,"A010025","A01","Ashland","AW14_005_02",5,1,1,NA,"Hardwood","A","density",0.1,NA,"NO","QUKE",11.5,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,3,571,788,217,1261,4.52755905511811,0.281437910637844,0.111803561120618,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,76,1962
26,"A010026","A01","Ashland","AW14_005_03",5,2,1,NA,"Hardwood","A","density",0.1,NA,"NO","QUKE",12.3,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,3,571,788,217,1261,4.84251968503937,0.313410997532595,0.127899892339799,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,76,1962
27,"A010027","A01","Ashland","AW14_005_04",5,3,1,NA,"Hardwood","A","density",0.1,NA,"NO","QUKE",11.3,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,3,571,788,217,1261,4.4488188976378,0.273647549229568,0.107948557425269,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,76,1962
28,"A010028","A01","Ashland","AW14_005_05",5,4,1,NA,"Hardwood","A","density",0.1,NA,"NO","QUKE",10.5,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,3,571,788,217,1261,4.13385826771654,0.243315027210971,0.0932048590816497,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,76,1962
29,"A010029","A01","Ashland","AW14_006_02",6,1,1,115,"Hardwood","A","density",0.1,NA,"NO","ARME",21,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,8.26771653543307,0.737593235249194,0.372819436326599,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
30,"A010030","A01","Ashland","AW14_006_03",6,2,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",20.7,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,8.1496062992126,0.720806353651466,0.362243538030804,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
31,"A010031","A01","Ashland","AW14_006_04",6,3,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",13.3,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,5.23622047244095,0.355163787710378,0.14954201834878,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,75.025,1962
32,"A010032","A01","Ashland","AW14_006_05",6,4,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",15.8,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.22047244094488,0.467861590132522,0.211044544409461,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
33,"A010033","A01","Ashland","AW14_007_01",7,1,0,NA,"Conifer","A","density",0.1,NA,"NO","PIPO",46.2,0,"CUT STUMP",2,NA,NA,NA,NA,NA,1990,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,1,571,788,217,1261,18.1889763779528,2.60431321273442,1.80444607182074,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,"Ponderosa pine (OR)","Other","Medium",0.0330771475824497,0.074,NA,NA,NA,NA,NA,NA,NA,NA,1990,1990,1990,64,85,95,1905
34,"A010034","A01","Ashland","AW14_008_02",8,1,1,75,"Hardwood","A","density",0.1,NA,"NO","ARME",19,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.48031496062992,0.628451569140058,0.305187792548531,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
35,"A010035","A01","Ashland","AW14_008_03",8,2,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",17.7,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.96850393700787,0.561078050822202,0.264853970990386,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,75,1962
36,"A010036","A01","Ashland","AW14_008_04",8,3,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",20.1,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.91338582677165,0.687669472520084,0.341548255034715,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
37,"A010037","A01","Ashland","AW14_009_02",9,1,1,75,"Hardwood","A","density",0.1,NA,"NO","ARME",17.8,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.00787401574803,0.566158532771247,0.267855125183038,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,75,1962
38,"A010038","A01","Ashland","AW14_009_03",9,2,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",17.3,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.81102362204724,0.540928443472128,0.253018433329224,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,75,1962
39,"A010039","A01","Ashland","AW14_011_02",11,1,1,54,"Hardwood","A","density",0.1,NA,"NO","ARME",24,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,9.44881889763779,0.9132801956714,0.486947835202088,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,68,75,1943
40,"A010040","A01","Ashland","AW14_011_03",11,2,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",14.2,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,5.59055118110236,0.39439137109016,0.17046555814262,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,48,75,1963
41,"A010041","A01","Ashland","AW14_012_02",12,1,1,83,"Hardwood","A","density",0.1,NA,"NO","ARME",22.6,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,8.89763779527559,0.829544247504451,0.431794229701074,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,64,75,1947
42,"A010042","A01","Ashland","AW14_012_03",12,2,1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",12.8,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,5.03937007874016,0.334042715000915,0.138509606457483,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,36,49,76,1962
