"rodne_nid","rodne_pid","trid","rodne_uid","site_name","uid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","ci_age_lower","predicted_age","ci_age_upper","pred_pith"
23,"G05",54,"G050104_new","Grayback Creek","GB05_054_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",20.0046381210749,0,"BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1351937.625,"Mid Slope",NA,2014,3,567,804,236,627,0.984251968503937,0.024488944517889,0.00528372217016155,69,463,466,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45793745,42.14233661,"Misc hardwoods","Other","Small",0.0716364450414148,0.133833333333333,-57.5964527131152,-28.7982263565576,-11.9523438506918,-39.5965458825948,-19.7982729412974,-8.21702569159607,1985,1994,1985,1994,1924,53,117,137,1807
24,"G06",2,"G060012_new","Grayback Creek","GB06_002_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",29.2774529133203,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,2.95275590551181,0.14202476352394,0.0475534995314539,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,85,100,215,1817
25,"G06",20,"G060046_new","Grayback Creek","GB06_020_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",24.1370850151095,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,2.95275590551181,0.14202476352394,0.0475534995314539,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,1917,85,99,215,1818
26,"G06",48,"G060110_002_new","Grayback Creek","GB06_048_04_002_new","4_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",19.6097201364303,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,0.984251968503937,0.024488944517889,0.00528372217016155,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,1917,84.925,98,215,1819
27,"G06",56,"G060127_new","Grayback Creek","GB06_056_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",21.4082182634237,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,0.984251968503937,0.024488944517889,0.00528372217016155,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1914,84.925,98,215,1816
28,"G06",64,"G060143_new","Grayback Creek","GB06_064_01_new","1_new",1,92,"Hardwood","G","density",0.1,NA,"NO","LIDE",24.0486735162394,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,8.85826771653543,0.823679168340479,0.427981495783085,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915,84.925,98,215,1817
29,"G06",65,"G060145_new","Grayback Creek","GB06_065_01_new","1_new",1,128,"Hardwood","G","density",0.1,NA,"NO","LIDE",41.5848632572935,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,4.37007874015748,0.26593948259393,0.104161185373697,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,85,92,127,1825
30,"G07",11,"G070031_new","Grayback Creek","GB07_011_01_new","1_new",1,80,"Hardwood","G","density",0.1,NA,"NO","LIDE",17.2953517924681,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1382572.375,"Ridge Top",NA,2014,3,558,772,214,714,7.08661417322835,0.576370920806797,0.273908157301175,109,314,285,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.455999,42.14360666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,71,86,90,1842
31,"G07",31,"G070090_new","Grayback Creek","GB07_031_01_new","1_new",1,100,"Hardwood","G","density",0.1,NA,"NO","LIDE",34.5145843351019,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1382572.375,"Ridge Top",NA,2014,3,558,772,214,714,4.33070866141732,0.262116493604645,0.102292861214328,109,314,285,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.455999,42.14360666,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1921,80,98,186,1823
32,"G07",46,"G070118_new","Grayback Creek","GB07_046_01_new","1_new",1,80,"Hardwood","G","density",0.1,NA,"NO","LIDE",21.277720742315,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1382572.375,"Ridge Top",NA,2014,3,558,772,214,714,5.59055118110236,0.39439137109016,0.17046555814262,109,314,285,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.455999,42.14360666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,71,87,90,1833
33,"G07",47,"G070122_new","Grayback Creek","GB07_047_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","ARME",36.6618259075826,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1382572.375,"Ridge Top",NA,2014,6,558,772,214,714,7.28346456692913,0.602200093840932,0.289336626038046,109,314,285,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.455999,42.14360666,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1924,80,98,186,1826
34,"G07",48,"G070123_new","Grayback Creek","GB07_048_01_new","1_new",1,225,"Hardwood","G","density",0.1,NA,"NO","ARME",52.5714328824728,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1382572.375,"Ridge Top",NA,2014,6,558,772,214,714,11.259842519685,1.20907072669407,0.691499741808854,109,314,285,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.455999,42.14360666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,101,169,505,1745
35,"G07",56,"G070137_new","Grayback Creek","GB07_056_01_new","1_new",1,98,"Hardwood","G","density",0.1,NA,"NO","ARME",24.6209028899171,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1382572.375,"Ridge Top",NA,2014,6,558,772,214,714,8.34645669291339,0.748864823474676,0.379954574745185,109,314,285,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.455999,42.14360666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,71,87,90,1832
36,"G07",58,"G070142_009_new","Grayback Creek","GB07_058_02_009_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",29.0480978546489,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1382572.375,"Ridge Top",NA,2014,3,558,772,214,714,0.984251968503937,0.024488944517889,0.00528372217016155,109,314,285,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.455999,42.14360666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,80,97,186,1829
37,"G07",69,"G070168_new","Grayback Creek","GB07_069_01_new","1_new",1,152,"Hardwood","G","density",0.1,NA,"NO","ARME",38.3394064964737,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1382572.375,"Ridge Top",NA,2014,6,558,772,214,714,9.88188976377953,0.981169428226074,0.532607648707756,109,314,285,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.455999,42.14360666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,80,113,186,1810
