"rodne_pid","total_trees","size_hectare","plot_di","tph","tpa","basal_area_acre","basal_area_hectare","sdi_hectare","sdi_acre"
"L01",62,"0.1",77,620,251,209,516,769,311
"L02",45,"0.1",78,450,182,210,518,777,314
"L03",14,"0.1",43,140,57,149,369,429,174
"L04",9,"0.1",28,90,36,95,234,280,113
"L05",56,"0.1",70,560,227,176,435,698,282
"L06",42,"0.1",47,420,170,115,285,475,192
"L07",30,"0.1",50,300,121,134,330,498,202
"L08",9,"0.1",39,90,36,136,336,391,158
"L09",21,"0.1",36,210,85,109,270,355,144
"L10",22,"0.1",38,220,89,107,264,381,154
"M01",43,"0.1",116,430,174,374,923,1165,471
"M02",43,"0.1",110,430,174,335,827,1102,446
"M03",71,"0.1",111,710,287,313,772,1110,449
"M04",34,"0.1",91,340,138,293,723,910,368
"M05",40,"0.1",78,400,162,225,557,780,316
"M06",45,"0.1",102,450,182,307,759,1023,414
"M07",82,"0.1",98,820,332,254,627,983,398
"M08",49,"0.1",96,490,198,266,657,958,388
"M09",76,"0.1",91,760,308,227,560,915,370
"M10",114,"0.1",109,1140,461,261,645,1091,441
"MA",733,"3",2345,244,99,246,608,782,316
"R01",62,"0.1",154,620,251,546,1350,1539,623
"R02",48,"0.1",97,480,194,293,724,969,392
"R03",19,"0.1",61,190,77,225,555,610,247
"R04",27,"0.1",89,270,109,311,769,892,361
"R05",22,"0.1",85,220,89,319,789,849,343
"R06",56,"0.1",99,560,227,305,754,989,400
"R07",21,"0.1",85,210,85,294,727,851,344
"R08",20,"0.1",80,200,81,281,695,801,324
"R09",43,"0.1",122,430,174,446,1101,1219,493
"R10",74,"0.1",160,740,299,487,1203,1603,649
"S01",27,"0.1",29,270,109,72,178,290,117
"S02",86,"0.1",57,860,348,121,300,570,231
"S03",106,"0.1",68,1060,429,146,360,675,273
"S04",46,"0.1",96,460,186,266,657,956,387
"S05",19,"0.1",41,190,77,130,320,412,167
"S06",61,"0.1",66,610,247,157,387,657,266
"S07",35,"0.1",33,350,142,79,196,333,135
"S08",49,"0.1",48,490,198,131,324,484,196
"S09",63,"0.1",55,630,255,126,311,545,221
"S10",77,"0.1",65,770,312,142,352,654,265
"SA",993,"3",1009,331,134,85,210,336,136
"T01",63,"0.1",111,630,255,354,875,1106,448
"T02",47,"0.1",74,470,190,219,541,735,298
"T03",54,"0.1",95,540,219,280,692,951,385
"T04",18,"0.1",47,180,73,148,366,470,190
"T05",67,"0.1",72,670,271,182,449,717,290
"T06",66,"0.1",91,660,267,279,689,907,367
"T07",44,"0.1",69,440,178,187,461,690,279
"T08",30,"0.1",59,300,121,174,430,595,241
"T09",53,"0.1",64,530,214,160,394,640,259
"T10",35,"0.1",91,350,142,296,732,912,369
"V01",48,"0.1",83,480,194,276,681,829,335
"V02",59,"0.1",54,590,239,126,310,538,218
"V03",51,"0.1",73,510,206,211,522,728,294
"V04",37,"0.1",68,370,150,205,506,678,274
"V05",65,"0.1",94,650,263,290,716,942,381
"V06",50,"0.1",72,500,202,210,518,717,290
"V07",85,"0.1",94,850,344,253,626,943,382
"V08",87,"0.1",103,870,352,267,659,1026,415
"V09",66,"0.1",78,660,267,210,520,782,316
"V10",69,"0.1",103,690,279,295,728,1029,416
"VA",755,"3",2443,252,102,269,666,814,330
"Z01",29,"0.1",44,290,117,119,293,438,177
"Z02",59,"0.1",110,590,239,307,758,1097,444
"Z03",26,"0.1",67,260,105,195,482,665,269
